医療機関コード	会社名	ウェブサイトURL	確度	判定根拠
2310902057	名古屋おもて呼吸器・アレルギー内科クリニック 金山駅前院	https://www.kanayama-kokyuki.com/	高	分院専用の公式サイト。住所(熱田区金山町1-4-6 アルティメイト金山3階)一致
2313601631	江南高屋はっとり眼科	https://konan-eye.com/	高	公式サイト。江南市高屋町の眼科で一致
2317300636	はるひレディスケアクリニック	https://haruhi-ladiescare.com/	高	公式サイト。清須市春日の婦人科・漢方内科で一致
1510128315	おのしんクリニック	https://onoshin-cl.com/	高	公式サイト。新潟市東区太平2-23-4 一致
1910116472	こうふ糖尿病健康クリニック	https://kofu-dm.com/	高	公式サイト。甲府市中央5-5-3 一致
1911110599	山岸医院	https://yamagishi-clinic-tsuru.com/	高	公式サイト。都留市上谷5-4-14 一致
2311102103	ふくしまみなと耳鼻咽喉科	https://fukushimaminato-jibika.jp/	高	公式サイト。名古屋市港区土古町 一致
1313327673	吉祥寺駅前皮膚科クリニック	https://kichijoji-hifuka.jp/	高	公式サイト。武蔵野市吉祥寺本町1-17-11 千代田生命吉祥寺ビル5階 一致
2310506700	たけばやし脳神経クリニック	https://takebayashi-neuro.jp/	高	公式サイト。中村区太閤1-20-9 4階 一致
1412612414	古淵駅前　まさき糖尿病・甲状腺クリニック	https://kobuchi-masaki-dm.jp/	高	公式サイト。相模原市南区古淵1-6-11 K'sビル2階 一致
2310506734	先進会眼科 大名古屋ビルヂング	https://senshinkai-clinic.jp/dainagoya_lp/	高	院別公式LP。名駅3-28-12 大名古屋ビルヂング4階 一致（法人サイトは senshinkai-clinic.jp）
2313102705	みかわ医院	未検出	-	安城市住吉町3-6-12。検索上位の「みかわ医院」は安城市三河安城南町の眼科(コード2231401480)で別施設。自院HPは確認できず
1415311030	みどりクリニック川崎	未検出	-	高津区子母口1003-6 グリーンパークシボグチ101・精神科・044-750-0382 まで特定できたが自院HPは確認できず
1415510854	トータス往診クリニック・かわさき北	https://totus-clinic.com/	中	2026/7/7開院の分院。分院専用サイトは未確認のため運営法人(医療法人社団トータス)の公式サイトを暫定採用
2310403494	コタロウこころの在宅クリニック	未検出	-	西区那古野1-18-23。同名施設の公式HPを確認できず
2315300950	ソワンアイクリニック	https://soineyeclinic.com/	高	公式サイト。丹羽郡大口町下小口6-167 一致
1510128349	家庭医療クリニック新潟	https://clinic-niigata.jp/	高	公式サイト。新潟市東区牡丹山2-5-18 コーポ華月2階右 一致
1414114210	かもめメンタルクリニック	https://kamome-mental-clinic.com/	高	公式サイト。中区弁天通3-47-2 フロール横濱関内2階・045-225-9163 一致
2310403478	なおみファミリークリニック名古屋中小田井	https://naomi-family.com/	高	公式サイト。西区中小田井3-17 ツルハドラッグ2階 一致
1313327681	みたか武蔵野消化器内視鏡クリニック	https://www.mitaka-naishikyo.com/	高	公式サイト。武蔵野市西久保1-6-25 メディフロント武蔵野3F 一致
1418110340	さえレディースクリニック	https://sae-ladies.com/	高	公式サイト。金沢区瀬戸16-32 THE PLACE八景4階 一致
1415310982	かじがや耳鼻咽喉科	https://kajigaya-ent.com/	高	公式サイト。高津区梶ケ谷2-1-2 シーズ梶ヶ谷1階 一致
1510313503	北信越クリニック	https://hse-cl.com/	高	公式サイト。上越市大和5-27-4 一致
1412105000	しんこやす・おおぐち耳鼻咽喉科　漢方内科　小児科	https://shinkoyasu-cl.com/	高	公式サイト。神奈川区新子安1-33-15 グリシーヌ横浜102 一致
1910116522	甲府セレニティクリニック	https://koshokai-kofu-serenity.or.jp/	高	公式サイト。甲府市里吉3-10-2 一致
1412110860	横浜駅前さいとう整形外科・スポーツクリニック	https://saitoseikei-yokohama.com/	高	公式サイト。神奈川区鶴屋町2-11-8 2階 一致
1910116506	緑が丘クリニック	https://midori-gaoka.jp/	高	公式サイト。甲府市緑が丘2-7-7 一致（同名の千葉県・三重県の緑が丘クリニックとは別）
2310506726	ＳａｌｕｓＮｏｖａ クリニック	未検出	-	中村区名駅1-1-4 JRセントラルタワーズ19F・052-433-8840 まで特定。自院HPは確認できず
1510313511	はれまちクリニック	未検出	-	医療法人社団長明会・上越市大字土橋2594・2026年7月開院まで特定。自院HPは確認できず
2312206127	七夕よろずクリニック	https://www.tanabata-ycl.jp/	高	公式サイト。一宮市の総合内科クリニックで一致
2311503607	和穏在宅クリニック	未検出	-	名東区梅森坂西2-616。同名施設の公式HPを確認できず
2314501483	あらかわ医院南院	https://arakawa-cl.com/	中	南院専用サイトは無く、本院（医療法人あらかわ医院）公式サイト内に南院(2026/5/1開院・予防接種/発達支援)の案内あり
1411011352	戸塚駅前みんなの整形外科	https://ttkeveryoneseikeigeka.com/	高	公式サイト。戸塚区戸塚町4107-1 オセアン里山1-2階 一致
1412410850	ごうだ整形外科	https://goda-orthopedic.com/	高	公式サイト。茅ヶ崎市松林2-5-33 一致（goda-ortho.jp は同名別医院なので採用しない）
1412810570	さこ整形外科・リハビリテーション科	https://sako-orthoclinic.com/	高	公式サイト。秦野市大秦町2-16 2F 一致
1313025749	医療法人社団テラス　立川南口クリニック	https://www.tachikawa-clinic.com/	高	公式サイト。立川市柴崎町3-8-1 NACビル・医療法人社団テラスの分院で一致
