レコードID,会社名,医療機関コード（正）,郵便番号,都道府県／地域,市区町村,ウェブサイトURL,重複グループID,代表フラグ,URL確度,判定根拠,検索クエリ
343452739295,名古屋おもて呼吸器・アレルギー内科クリニック 金山駅前院,2310902057,456-0002,愛知県,名古屋市熱田区金山町１－４－６ アルティメイト金山３階,https://www.kanayama-kokyuki.com/,G000001,代表,高,分院専用の公式サイト。住所(熱田区金山町1-4-6 アルティメイト金山3階)一致,名古屋おもて呼吸器・アレルギー内科クリニック 金山駅前院 名古屋市熱田区 公式サイト
343452650195,江南高屋はっとり眼科,2313601631,483-8047,愛知県,江南市高屋町大師１１０－１,https://konan-eye.com/,G000002,代表,高,公式サイト。江南市高屋町の眼科で一致,江南高屋はっとり眼科 江南市 公式サイト
343390618336,はるひレディスケアクリニック,2317300636,452-0961,愛知県,清須市春日樋１１５,https://haruhi-ladiescare.com/,G000003,代表,高,公式サイト。清須市春日の婦人科・漢方内科で一致,はるひレディスケアクリニック 清須市 公式サイト
343466040054,おのしんクリニック,1510128315,950-0005,新潟県,新潟市東区太平２丁目２３－４,https://onoshin-cl.com/,G000004,代表,高,公式サイト。新潟市東区太平2-23-4 一致,おのしんクリニック 新潟市東区 公式サイト
343408585462,こうふ糖尿病健康クリニック,1910116472,400-0032,山梨県,甲府市中央５―５―３,https://kofu-dm.com/,G000005,代表,高,公式サイト。甲府市中央5-5-3 一致,こうふ糖尿病健康クリニック 甲府市 公式サイト
343408585461,山岸医院,1911110599,402-0053,山梨県,都留市上谷５－４－１４,https://yamagishi-clinic-tsuru.com/,G000006,代表,高,公式サイト。都留市上谷5-4-14 一致,山岸医院 都留市 公式サイト
343399015113,ふくしまみなと耳鼻咽喉科,2311102103,455-0068,愛知県,名古屋市港区土古町１－５２－４,https://fukushimaminato-jibika.jp/,G000007,代表,高,公式サイト。名古屋市港区土古町 一致,ふくしまみなと耳鼻咽喉科 名古屋市港区 公式サイト
343452767964,吉祥寺駅前皮膚科クリニック,1313327673,180-0004,東京都,武蔵野市吉祥寺本町１－１７－１１　千代田生命吉祥寺ビル５階,https://kichijoji-hifuka.jp/,G000008,代表,高,公式サイト。武蔵野市吉祥寺本町1-17-11 千代田生命吉祥寺ビル5階 一致,吉祥寺駅前皮膚科クリニック 武蔵野市 公式サイト
343390618335,みかわ医院,2313102705,446-0072,愛知県,安城市住吉町３－６－１２,,G000009,代表,未検出,安城市住吉町3-6-12。検索上位の「みかわ医院」は安城市三河安城南町の眼科(コード2231401480)で別施設。自院HPは確認できず,みかわ医院 安城市 公式サイト
343316492987,たけばやし脳神経クリニック,2310506700,453-0801,愛知県,名古屋市中村区太閤１－２０－９ Ｌ’ＥＮＶＯＬ ＭＥＩＥＫＩ ４階,https://takebayashi-neuro.jp/,G000010,代表,高,公式サイト。中村区太閤1-20-9 4階 一致,たけばやし脳神経クリニック 名古屋市中村区 公式サイト
343466040053,みどりクリニック川崎,1415311030,213-0023,神奈川県,川崎市高津区子母口１００３－６　グリーンパークシボグチ１０１,,G000011,代表,未検出,高津区子母口1003-6 グリーンパークシボグチ101・精神科・044-750-0382 まで特定できたが自院HPは確認できず,みどりクリニック川崎 川崎市高津区 公式サイト
343452739294,トータス往診クリニック・かわさき北,1415510854,216-0015,神奈川県,川崎市宮前区菅生六丁目３２番２０号　コリーヌ山中２０３,https://totus-clinic.com/,G000012,代表,中,2026/7/7開院の分院。分院専用サイトは未確認のため運営法人(医療法人社団トータス)の公式サイトを暫定採用,トータス往診クリニック・かわさき北 川崎市宮前区 公式サイト
343399015112,古淵駅前　まさき糖尿病・甲状腺クリニック,1412612414,252-0344,神奈川県,相模原市南区古淵１－６－１１　Ｋ’ｓビル　２階,https://kobuchi-masaki-dm.jp/,G000013,代表,高,公式サイト。相模原市南区古淵1-6-11 K'sビル2階 一致,古淵駅前 まさき糖尿病・甲状腺クリニック 相模原市南区 公式サイト
343399015111,先進会眼科 大名古屋ビルヂング,2310506734,450-6404,愛知県,名古屋市中村区名駅３－２８－１２ 大名古屋ビルヂング４階,https://senshinkai-clinic.jp/dainagoya_lp/,G000014,代表,高,院別公式LP。名駅3-28-12 大名古屋ビルヂング4階 一致（法人サイトは senshinkai-clinic.jp）,先進会眼科 大名古屋ビルヂング 名古屋市中村区 公式サイト
343316492986,コタロウこころの在宅クリニック,2310403494,451-0042,愛知県,名古屋市西区那古野１－１８－２３ ラスメゾン那古野４Ａ,,G000015,代表,未検出,西区那古野1-18-23。同名施設の公式HPを確認できず,コタロウこころの在宅クリニック 名古屋市西区 公式サイト
343452797689,ソワンアイクリニック,2315300950,480-0144,愛知県,丹羽郡大口町下小口６－１６７,https://soineyeclinic.com/,G000016,代表,高,公式サイト。丹羽郡大口町下小口6-167 一致,ソワンアイクリニック 丹羽郡大口町 公式サイト
343452699383,家庭医療クリニック新潟,1510128349,950-0872,新潟県,新潟市東区牡丹山２丁目５－１８　コーポ華月　２階右号室,https://clinic-niigata.jp/,G000017,代表,高,公式サイト。新潟市東区牡丹山2-5-18 コーポ華月2階右 一致,家庭医療クリニック新潟 新潟市東区 公式サイト
343452699382,かもめメンタルクリニック,1414114210,231-0007,神奈川県,横浜市中区弁天通３丁目４７番２　フロール横濱関内２階,https://kamome-mental-clinic.com/,G000018,代表,高,公式サイト。中区弁天通3-47-2 フロール横濱関内2階・045-225-9163 一致,かもめメンタルクリニック 横浜市中区 公式サイト
