レコードID,会社名,医療機関コード（正）,郵便番号,都道府県／地域,市区町村,ウェブサイトURL
343452739295,名古屋おもて呼吸器・アレルギー内科クリニック 金山駅前院,2310902057,456-0002,愛知県,名古屋市熱田区金山町１－４－６ アルティメイト金山３階,
343452650195,江南高屋はっとり眼科,2313601631,483-8047,愛知県,江南市高屋町大師１１０－１,
343390618336,はるひレディスケアクリニック,2317300636,452-0961,愛知県,清須市春日樋１１５,
343466040054,おのしんクリニック,1510128315,950-0005,新潟県,新潟市東区太平２丁目２３－４,
343408585462,こうふ糖尿病健康クリニック,1910116472,400-0032,山梨県,甲府市中央５―５―３,
343408585461,山岸医院,1911110599,402-0053,山梨県,都留市上谷５－４－１４,
343399015113,ふくしまみなと耳鼻咽喉科,2311102103,455-0068,愛知県,名古屋市港区土古町１－５２－４,
343452767964,吉祥寺駅前皮膚科クリニック,1313327673,180-0004,東京都,武蔵野市吉祥寺本町１－１７－１１　千代田生命吉祥寺ビル５階,
343390618335,みかわ医院,2313102705,446-0072,愛知県,安城市住吉町３－６－１２,
343316492987,たけばやし脳神経クリニック,2310506700,453-0801,愛知県,名古屋市中村区太閤１－２０－９ Ｌ’ＥＮＶＯＬ ＭＥＩＥＫＩ ４階,
343466040053,みどりクリニック川崎,1415311030,213-0023,神奈川県,川崎市高津区子母口１００３－６　グリーンパークシボグチ１０１,
343452739294,トータス往診クリニック・かわさき北,1415510854,216-0015,神奈川県,川崎市宮前区菅生六丁目３２番２０号　コリーヌ山中２０３,
343399015112,古淵駅前　まさき糖尿病・甲状腺クリニック,1412612414,252-0344,神奈川県,相模原市南区古淵１－６－１１　Ｋ’ｓビル　２階,
343399015111,先進会眼科 大名古屋ビルヂング,2310506734,450-6404,愛知県,名古屋市中村区名駅３－２８－１２ 大名古屋ビルヂング４階,
343316492986,コタロウこころの在宅クリニック,2310403494,451-0042,愛知県,名古屋市西区那古野１－１８－２３ ラスメゾン那古野４Ａ,
343452797689,ソワンアイクリニック,2315300950,480-0144,愛知県,丹羽郡大口町下小口６－１６７,
343452699383,家庭医療クリニック新潟,1510128349,950-0872,新潟県,新潟市東区牡丹山２丁目５－１８　コーポ華月　２階右号室,
343452699382,かもめメンタルクリニック,1414114210,231-0007,神奈川県,横浜市中区弁天通３丁目４７番２　フロール横濱関内２階,
343316492025,なおみファミリークリニック名古屋中小田井,2310403478,452-0822,愛知県,名古屋市西区中小田井３－１７ ツルハドラッグ中小田井店２階,
343466040052,みたか武蔵野消化器内視鏡クリニック,1313327681,180-0013,東京都,武蔵野市西久保一丁目６番２５号　メディフロント武蔵野３階,
343452797688,さえレディースクリニック,1418110340,236-0027,神奈川県,横浜市金沢区瀬戸１６－３２　ＴＨＥ　ＰＬＡＣＥ八景４階,
343452739293,かじがや耳鼻咽喉科,1415310982,213-0015,神奈川県,川崎市高津区梶ケ谷２－１－２　シーズ梶ヶ谷１階Ｃ号室,
343392399042,北信越クリニック,1510313503,943-0861,新潟県,上越市大和５丁目２７番４号,
343452699381,しんこやす・おおぐち耳鼻咽喉科　漢方内科　小児科,1412105000,221-0013,神奈川県,横浜市神奈川区新子安１－３３－１５　グリシーヌ横浜１０２号室,
343408585460,甲府セレニティクリニック,1910116522,400-0822,山梨県,甲府市里吉三丁目１０番２号,
343392399041,ＳａｌｕｓＮｏｖａ クリニック,2310506726,450-6019,愛知県,名古屋市中村区名駅１－１－４ ＪＲセントラルタワーズ１９階,
343390618334,横浜駅前さいとう整形外科・スポーツクリニック,1412110860,221-0835,神奈川県,横浜市神奈川区鶴屋町二丁目１１番地８　２階,
343466040051,緑が丘クリニック,1910116506,400-0008,山梨県,甲府市緑が丘２丁目７番７号,
343452797687,はれまちクリニック,1510313511,943-0821,新潟県,上越市土橋２５９４番地,
