レコードID,会社名,医療機関コード（正）,郵便番号,都道府県／地域,市区町村,ウェブサイトURL,正規化名,名寄せキー種別,重複グループID,代表フラグ,検索クエリ
343452739295,名古屋おもて呼吸器・アレルギー内科クリニック 金山駅前院,2310902057,456-0002,愛知県,名古屋市熱田区金山町１－４－６ アルティメイト金山３階,,名古屋おもて呼吸器アレルギ内科クリニック金山駅前院,CODE,G000001,代表,名古屋おもて呼吸器・アレルギー内科クリニック 金山駅前院 名古屋市熱田区 公式サイト
343452650195,江南高屋はっとり眼科,2313601631,483-8047,愛知県,江南市高屋町大師１１０－１,,江南高屋はっとり眼科,CODE,G000002,代表,江南高屋はっとり眼科 江南市 公式サイト
343390618336,はるひレディスケアクリニック,2317300636,452-0961,愛知県,清須市春日樋１１５,,はるひレディスケアクリニック,CODE,G000003,代表,はるひレディスケアクリニック 清須市 公式サイト
343466040054,おのしんクリニック,1510128315,950-0005,新潟県,新潟市東区太平２丁目２３－４,,おのしんクリニック,CODE,G000004,代表,おのしんクリニック 新潟市東区 公式サイト
343408585462,こうふ糖尿病健康クリニック,1910116472,400-0032,山梨県,甲府市中央５―５―３,,こうふ糖尿病健康クリニック,CODE,G000005,代表,こうふ糖尿病健康クリニック 甲府市 公式サイト
343408585461,山岸医院,1911110599,402-0053,山梨県,都留市上谷５－４－１４,,山岸医院,CODE,G000006,代表,山岸医院 都留市 公式サイト
343399015113,ふくしまみなと耳鼻咽喉科,2311102103,455-0068,愛知県,名古屋市港区土古町１－５２－４,,ふくしまみなと耳鼻咽喉科,CODE,G000007,代表,ふくしまみなと耳鼻咽喉科 名古屋市港区 公式サイト
343452767964,吉祥寺駅前皮膚科クリニック,1313327673,180-0004,東京都,武蔵野市吉祥寺本町１－１７－１１　千代田生命吉祥寺ビル５階,,吉祥寺駅前皮膚科クリニック,CODE,G000008,代表,吉祥寺駅前皮膚科クリニック 武蔵野市 公式サイト
343390618335,みかわ医院,2313102705,446-0072,愛知県,安城市住吉町３－６－１２,,みかわ医院,CODE,G000009,代表,みかわ医院 安城市 公式サイト
343316492987,たけばやし脳神経クリニック,2310506700,453-0801,愛知県,名古屋市中村区太閤１－２０－９ Ｌ’ＥＮＶＯＬ ＭＥＩＥＫＩ ４階,,たけばやし脳神経クリニック,CODE,G000010,代表,たけばやし脳神経クリニック 名古屋市中村区 公式サイト
343466040053,みどりクリニック川崎,1415311030,213-0023,神奈川県,川崎市高津区子母口１００３－６　グリーンパークシボグチ１０１,,みどりクリニック川崎,CODE,G000011,代表,みどりクリニック川崎 川崎市高津区 公式サイト
343452739294,トータス往診クリニック・かわさき北,1415510854,216-0015,神奈川県,川崎市宮前区菅生六丁目３２番２０号　コリーヌ山中２０３,,トタス往診クリニックかわさき北,CODE,G000012,代表,トータス往診クリニック・かわさき北 川崎市宮前区 公式サイト
343399015112,古淵駅前　まさき糖尿病・甲状腺クリニック,1412612414,252-0344,神奈川県,相模原市南区古淵１－６－１１　Ｋ’ｓビル　２階,,古淵駅前まさき糖尿病甲状腺クリニック,CODE,G000013,代表,古淵駅前 まさき糖尿病・甲状腺クリニック 相模原市南区 公式サイト
343399015111,先進会眼科 大名古屋ビルヂング,2310506734,450-6404,愛知県,名古屋市中村区名駅３－２８－１２ 大名古屋ビルヂング４階,,先進会眼科大名古屋ビルヂング,CODE,G000014,代表,先進会眼科 大名古屋ビルヂング 名古屋市中村区 公式サイト
343316492986,コタロウこころの在宅クリニック,2310403494,451-0042,愛知県,名古屋市西区那古野１－１８－２３ ラスメゾン那古野４Ａ,,コタロウこころの在宅クリニック,CODE,G000015,代表,コタロウこころの在宅クリニック 名古屋市西区 公式サイト
343452797689,ソワンアイクリニック,2315300950,480-0144,愛知県,丹羽郡大口町下小口６－１６７,,ソワンアイクリニック,CODE,G000016,代表,ソワンアイクリニック 丹羽郡大口町 公式サイト
343452699383,家庭医療クリニック新潟,1510128349,950-0872,新潟県,新潟市東区牡丹山２丁目５－１８　コーポ華月　２階右号室,,家庭医療クリニック新潟,CODE,G000017,代表,家庭医療クリニック新潟 新潟市東区 公式サイト
343452699382,かもめメンタルクリニック,1414114210,231-0007,神奈川県,横浜市中区弁天通３丁目４７番２　フロール横濱関内２階,,かもめメンタルクリニック,CODE,G000018,代表,かもめメンタルクリニック 横浜市中区 公式サイト
343316492025,なおみファミリークリニック名古屋中小田井,2310403478,452-0822,愛知県,名古屋市西区中小田井３－１７ ツルハドラッグ中小田井店２階,,なおみファミリクリニック名古屋中小田井,CODE,G000019,代表,なおみファミリークリニック名古屋中小田井 名古屋市西区 公式サイト
343466040052,みたか武蔵野消化器内視鏡クリニック,1313327681,180-0013,東京都,武蔵野市西久保一丁目６番２５号　メディフロント武蔵野３階,,みたか武蔵野消化器内視鏡クリニック,CODE,G000020,代表,みたか武蔵野消化器内視鏡クリニック 武蔵野市 公式サイト
